2840	-320	16416		97	161	-57		-4378	-1753	-1917
3720	-1904	16384		98	166	-58		-2210	238	-466
32	3048	16952		86	176	-58		3464	6083	-2933
-8768	9608	17424		78	190	-76		4912	6885	-2367
-8200	14880	17000		55	201	-83		13821	8412	2854
-1448	1544	14416		57	201	-87		15099	10779	3069
-2920	976	14584		51	217	-97		4485	7644	820
-5664	5456	14264		36	222	-108		4610	4861	-1058
-7968	9856	9408		28	234	-135		26833	15603	8686
-8448	13400	8248		2	240	-150		11766	4805	0
-9448	17160	7008		-4	230	-176		8850	5046	-1158
-11640	15464	4120		-1	233	-195		12811	7075	1698
-11024	15560	2176		4	230	-210		7004	6554	185
-9600	10144	424		8	232	-218		6170	5397	-2780
-10088	16832	-1216		20	230	-240		8431	6429	541
-5480	16960	-5968		25	225	-255		16474	13726	5283
-7664	6608	-7704		39	209	-269		-93	1183	-3163
-7680	6624	-9960		62	192	-274		8788	6555	-4119
-6208	1832	-12920		95	193	-281		11318	16588	10278
-3640	2528	-15384		110	214	-264		5780	2630	4302
-5432	7976	-15112		91	221	-251		8050	1825	-408
-1568	5704	-15296		82	206	-264		9354	4429	-1201
-4024	-5696	-18640		90	184	-266		12088	2692	-1630
2984	-4712	-16992		88	182	-274		18576	8961	8984
1040	-6528	-14568		119	171	-275		10958	8236	-1230
4592	-7200	-13144		131	159	-275		11675	7383	-5409
5488	-8048	-12728		142	142	-276		-2070	1802	-7697
7896	-8904	-11256		146	124	-284		3048	3794	-2936
3520	-5712	-12208		152	126	-280		-2120	-2191	4162
4328	-8744	-12240		151	137	-291		-1122	-8658	10056
4680	-7736	-12568		151	135	-283		1807	1419	2480
2944	-4632	-8056		141	163	-267		20641	-1647	22516
1032	-19136	-10008		141	179	-251		-973	-21	6127
-1112	-15448	-8768		139	187	-249		17549	5204	3481
800	-14704	-5488		158	204	-234		16823	-61	3917
-3640	-19368	-4392		157	203	-223		9838	2945	3487
-5648	-12952	-2128		151	207	-209		11541	-31	1078
32	-27128	176		145	221	-193		14903	3264	7925
-4032	-11680	4288		122	242	-180		11958	9425	12432
-4216	-16496	4488		104	234	-182		4108	1492	162
-6200	-14944	6408		92	250	-196		1717	4874	2538
-11312	-5016	9872		83	257	-205		5806	1721	1370
-8336	-10792	8240		75	257	-197		-823	-3853	3163
-10128	-9976	8856		67	259	-183		-206	-1608	965
-8688	-8664	9808		64	260	-186		2237	279	1668
-11088	-7856	9248		64	258	-192		593	1443	732
-9784	-8536	9192		68	260	-186		3177	-278	3035
-10832	-7208	10048		48	262	-186		849	-2473	3865
-11616	-6432	10912		45	259	-177		1329	-3985	6272
-10296	-4536	11520		38	258	-168		3549	-263	2446
-10592	-4792	11368		26	250	-166		5550	-7011	4100
-7144	-3752	13264		4	242	-138		5083	-6542	6425
-6496	2824	15976		-17	227	-131		4358	-5799	10106
-6784	1984	16040		-33	203	-123		794	-4043	8643
-4768	3512	16352		-52	186	-112		-302	-5308	10393
-3064	2288	16112		-62	172	-110		-1599	-3430	9304
-2432	4736	16648		-79	149	-107		645	-2727	6796
8	2288	16272		-82	140	-104		-3130	-2515	6307
1640	2504	16856		-80	96	-90		-4818	-8496	22985
